,player_name,date_of_birth,current_elo,wins,losses,total,white_win_perc,white_lose_perc,black_win_perc,black_lose_perc,average_rating_differences
0,Shin Jinseo,2000-03-17,3844,510,167,677,0.7,0.0,0.3,0.0,419.9
1,Ke Jie,1997-08-02,3715,508,207,715,0.4,0.1,0.2,0.3,114.8
2,Park Junghwan,1993-01-11,3668,795,322,1117,0.4,0.1,0.1,0.4,197.4
3,Gu Zihao,1998-03-13,3646,264,158,422,0.1,0.3,0.2,0.4,61.0
4,Byun Sangil,1997-01-14,3643,324,203,527,0.2,0.2,0.5,0.1,163.7
5,Ding Hao,2000-06-13,3642,168,117,285,0.0,0.2,0.3,0.5,64.9
6,Mi Yuting,1996-01-08,3638,434,250,684,0.3,0.1,0.2,0.4,51.4
7,Yang Dingxin,1998-10-19,3620,357,240,597,0.2,0.3,0.3,0.2,-7.9
8,Fan Tingyu,1996-08-06,3610,403,263,666,0.5,0.1,0.3,0.1,31.4
9,Li Xuanhao,1995-02-01,3605,283,216,499,0.5,0.1,0.3,0.1,28.0
10,Dang Yifei,1994-06-17,3580,238,229,467,0.3,0.2,0.3,0.2,32.6
11,Li Weiqing,2000-04-10,3570,144,114,258,0.2,0.2,0.5,0.1,87.7
12,Xu Jiayang,1999-11-22,3560,212,145,357,0.3,0.1,0.1,0.5,48.7
13,Ichiriki Ryo,1997-06-10,3556,478,234,712,0.3,0.1,0.5,0.1,152.9
14,Lee Donghoon,1998-02-04,3554,329,223,552,0.3,0.3,0.1,0.3,55.7
15,Iyama Yuta,1989-05-24,3552,688,306,994,0.1,0.3,0.2,0.4,28.6
16,Lian Xiao,1994-04-08,3550,382,244,626,0.3,0.2,0.1,0.4,-18.9
17,Xie Ke,2000-01-14,3547,192,144,336,0.2,0.3,0.2,0.3,-19.5
18,Tuo Jiaxi,1991-01-15,3546,504,327,831,0.2,0.1,0.4,0.3,-19.0
19,Xu Haohong,2001-04-30,3546,299,116,415,0.5,0.0,0.5,0.0,200.3
20,Shin Minjun,1999-01-11,3542,308,229,537,0.4,0.2,0.4,0.0,-0.3
21,Kim Jiseok,1989-06-13,3537,594,352,946,0.4,0.4,0.1,0.1,83.0
22,Liao Yuanhe,2000-12-20,3530,177,144,321,0.2,0.4,0.1,0.3,-32.9
23,Li Qincheng,1998-10-20,3529,268,188,456,0.3,0.4,0.2,0.1,-7.0
24,Peng Liyao,1992-01-14,3528,337,260,597,0.2,0.1,0.5,0.2,30.0
25,Huang Yunsong,1997-01-15,3524,242,188,430,0.3,0.1,0.1,0.5,3.9
26,Jiang Weijie,1991-10-17,3524,412,291,703,0.0,0.4,0.1,0.5,-28.1
27,Kang Dongyun,1989-01-23,3519,524,364,888,0.3,0.2,0.3,0.2,25.5
28,Zhao Chenyu,1999-06-04,3518,194,170,364,0.2,0.4,0.2,0.2,-57.8
29,Xie Erhao,1998-09-26,3518,239,179,418,0.3,0.4,0.1,0.2,0.3
30,Hsu Chiayuan,1997-12-24,3518,288,149,437,0.6,0.0,0.3,0.1,118.0
31,Kim Myounghoon,1997-04-07,3513,168,134,302,0.5,0.0,0.2,0.3,17.9
32,Wang Xinghao,2004-02-02,3511,85,50,135,0.3,0.0,0.6,0.1,230.6
33,Chen Yaoye,1989-12-16,3509,595,406,1001,0.4,0.5,0.0,0.1,15.1
34,Weon Seongjin,1985-07-15,3504,432,321,753,0.1,0.2,0.0,0.7,11.3
35,Shi Yue,1991-01-11,3502,508,336,844,0.4,0.1,0.2,0.3,-41.5
36,Yang Kaiwen,1997-01-28,3497,131,116,247,0.3,0.3,0.3,0.1,-14.0
37,Tao Xinran,1994-07-05,3497,260,217,477,0.1,0.3,0.2,0.4,-58.0
38,Fan Yin,1997-12-10,3495,144,124,268,0.3,0.2,0.1,0.4,-48.3
39,Lee Changseok,1996-04-27,3493,137,111,248,0.5,0.1,0.2,0.2,66.3
40,Park Geunho,1998-06-14,3493,88,91,179,0.2,0.1,0.5,0.2,7.9
41,Park Yeonghun,1985-04-01,3489,634,413,1047,0.3,0.3,0.2,0.2,56.0
42,Lee Jihyun (m),1992-09-30,3484,176,135,311,0.2,0.0,0.3,0.5,31.5
43,Tan Xiao,1993-03-10,3477,386,313,699,0.4,0.1,0.0,0.5,-52.9
44,Tang Weixing,1993-01-15,3473,362,310,672,0.2,0.2,0.2,0.4,43.7
45,Meng Tailing,1987-02-12,3473,288,261,549,0.3,0.1,0.3,0.3,53.2
46,Tong Mengcheng,1996-04-26,3473,262,225,487,0.2,0.5,0.0,0.3,-55.6
47,Tu Xiaoyu,2003-10-17,3473,93,67,160,0.3,0.1,0.3,0.3,57.0
48,Zhang Tao,1991-03-23,3472,164,178,342,0.1,0.1,0.3,0.5,-52.8
49,Seol Hyunjun,1999-01-29,3457,120,110,230,0.3,0.1,0.4,0.2,147.4
50,Shibano Toramaru,1999-11-09,3457,281,163,444,0.2,0.4,0.2,0.2,0.7
51,Wang Haoyang,1988-12-24,3456,164,200,364,0.7,0.0,0.0,0.3,-4.6
52,Yu Zhengqi,1995-06-19,3452,297,178,475,0.2,0.3,0.1,0.4,27.5
53,Park Hamin,1998-02-14,3449,112,104,216,0.3,0.1,0.5,0.1,80.7
54,Chen Xian,1997-05-11,3438,125,120,245,0.2,0.6,0.0,0.2,-69.3
55,Choi Cheolhan,1985-03-12,3438,701,454,1155,0.1,0.4,0.3,0.2,41.9
56,Rong Yi,1994-11-11,3435,95,111,206,0.3,0.2,0.1,0.4,-33.8
57,Park Jinsol,1986-09-07,3435,131,127,258,0.3,0.3,0.2,0.2,42.3
58,Han Yizhou,1997-02-07,3433,124,145,269,0.2,0.5,0.2,0.1,-89.0
59,An Sungjoon,1991-09-16,3432,186,156,342,0.1,0.5,0.2,0.2,-22.3
60,Hong Mujin,1994-05-19,3427,30,28,58,0.4,0.1,0.1,0.4,-16.2
61,Han Seungjoo,1996-11-27,3426,108,113,221,0.2,0.6,0.1,0.1,-63.9
62,Yi Lingtao,2000-05-29,3423,91,95,186,0.1,0.3,0.1,0.5,-102.1
63,Chen Zijian,2000-01-05,3422,102,115,217,0.7,0.2,0.0,0.1,-20.8
64,Lee Yeongkyu,1987-08-23,3422,364,278,642,0.4,0.3,0.2,0.1,10.7
65,Park Jonghoon,2000-01-14,3418,54,38,92,0.3,0.3,0.3,0.1,49.5
66,Choi Jeong,1996-10-07,3416,414,198,612,0.3,0.2,0.4,0.1,102.9
67,Park Minkyu,1994-06-05,3415,86,86,172,0.3,0.2,0.2,0.3,-49.5
68,Jin Yucheng,2004-06-23,3412,18,14,32,0.2,0.4,0.3,0.1,-82.5
69,Mao Ruilong,1990-01-18,3411,151,169,320,0.3,0.2,0.3,0.2,77.5
70,Lin Junyan,1997-11-26,3410,290,192,482,0.2,0.3,0.2,0.3,-0.5
71,Hong Seongji,1987-08-07,3409,217,212,429,0.3,0.3,0.2,0.2,-26.5
72,Wang Yuanjun,1996-03-14,3408,351,222,573,0.1,0.2,0.3,0.4,114.3
73,Sun Tengyu,1993-09-12,3407,139,147,286,0.4,0.1,0.3,0.2,70.1
74,Zhou Ruiyang,1991-03-08,3406,536,380,916,0.1,0.3,0.1,0.5,-39.4
75,Cao Xiaoyang,1992-08-06,3405,56,71,127,0.0,0.0,0.2,0.8,-131.1
76,Kang Yootaek,1991-11-26,3402,160,134,294,0.2,0.2,0.2,0.4,-42.8
77,Heo Yongho,1986-07-02,3400,240,215,455,0.1,0.1,0.5,0.3,56.5
78,Xia Chenkun,1994-10-30,3400,128,122,250,0.1,0.6,0.0,0.3,-114.5
79,Kang Seungmin,1994-11-29,3399,109,135,244,0.2,0.1,0.5,0.2,-9.4
80,Wu Guangya,1990-07-31,3394,212,218,430,0.3,0.3,0.2,0.2,5.1
81,Na Hyun,1995-01-30,3392,256,211,467,0.1,0.0,0.5,0.4,-5.9
82,An Jungki,1997-07-09,3391,74,70,144,0.4,0.2,0.1,0.3,-87.0
83,Kim Seongjae,1992-08-11,3391,150,171,321,0.1,0.3,0.4,0.2,-65.7
84,Choi Jaeyoung,1997-04-10,3390,73,79,152,0.3,0.4,0.1,0.2,-27.1
85,Wang Zejin,1999-02-08,3390,103,113,216,0.0,0.3,0.6,0.1,-13.3
86,Lee Wonyoung,1992-05-08,3388,114,125,239,0.2,0.3,0.3,0.2,-42.2
87,Heo Youngrak,1996-03-01,3385,8,9,17,0.2,0.2,0.0,0.6,-108.5
88,Liu Yuhang,2001-07-18,3384,29,30,59,0.3,0.4,0.0,0.3,-60.0
89,Chen Qirui,2000-06-15,3384,281,164,445,0.5,0.0,0.4,0.1,193.2
90,Kim Jinhwi,1996-01-26,3379,61,64,125,0.2,0.3,0.4,0.1,-79.1
91,Ida Atsushi,1994-03-15,3373,250,181,431,0.1,0.4,0.4,0.1,41.8
92,Park Sangjin,2001-05-19,3373,72,71,143,0.5,0.2,0.0,0.3,-2.6
93,Huang Mingyu,2002-08-23,3372,25,32,57,0.4,0.0,0.1,0.5,-83.2
94,Kim Junghyun,1991-04-12,3371,127,127,254,0.1,0.0,0.3,0.6,-37.3
95,Gu Li,1983-02-03,3370,750,464,1214,0.5,0.1,0.0,0.4,31.4
96,Paek Hongseok,1986-07-02,3370,249,213,462,0.2,0.6,0.1,0.1,-46.6
97,Hu Yuhan,1996-11-27,3368,50,72,122,0.3,0.3,0.1,0.3,-199.3
98,Sim Jaeik,1998-10-04,3368,26,42,68,0.3,0.4,0.2,0.1,-29.8
99,Jiang Qirun,2000-10-12,3366,71,98,169,0.0,0.2,0.3,0.5,-103.9
